Rule,Accuracy,#Times_Used,Rule Decision,Rule Length,Rule Piece 1,Rule Piece 2,Rule Piece 3,Rule Piece 4,Rule Piece 5,Rule Piece 6
34,1.0,99,0,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa <= 0.98,HOME_day_since_last_game > 8.07,score_differential > -3.50,run_count <= 32.50
6,1.0,89,0,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank <= 29.50,Down <= 3.50,rest_differential <= 2.50,score_differential > -14.50
10,1.0,53,0,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank <= 29.50,Down > 3.50,DefenseTeam <= 27.50,score_differential > -12.50
32,1.0,46,0,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa <= 0.98,HOME_day_since_last_game > 8.07,score_differential <= -3.50,AWAY_day_since_last_game <= 17.00
36,1.0,19,0,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa > 0.98,yardline_100 <= 36.50,pass_count <= 17.50,Down <= 3.50
27,1.0,17,0,3,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation > 8.50,0,0,0
39,1.0,16,0,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa > 0.98,yardline_100 <= 36.50,pass_count > 17.50,total_play_count > 69.50
11,1.0,12,0,5,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank <= 29.50,Down > 3.50,DefenseTeam > 27.50,0
20,1.0,11,0,6,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation <= 8.50,home_team_on_defense <= 51.50,current_defence_rank <= 5.50,pass_run_ratio > 0.55
9,1.0,10,0,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank <= 29.50,Down > 3.50,DefenseTeam <= 27.50,score_differential <= -12.50
42,1.0,10,0,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa > 0.98,yardline_100 > 36.50,total_play_count > 89.00,stadium <= 32.50
5,1.0,8,0,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank <= 29.50,Down <= 3.50,rest_differential <= 2.50,score_differential <= -14.50
3,1.0,6,0,5,defenders_in_box <= 2.50,yardline_100 <= 33.50,YardsToGo <= 21.50,Precipitation > 0.00,poor_field_condition > 0.50,0
13,1.0,6,0,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank > 29.50,score_differential <= 6.50,OffenseTeam <= 25.00,Temperature > 36.76
26,1.0,4,0,6,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation <= 8.50,home_team_on_defense > 51.50,epa > 0.16,goal_line_situation > 0.50
7,1.0,3,0,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank <= 29.50,Down <= 3.50,rest_differential > 2.50,stadium <= 10.00
18,1.0,3,0,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank > 29.50,score_differential > 6.50,season_progression > 0.15,week > 13.50
21,1.0,3,0,6,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation <= 8.50,home_team_on_defense <= 51.50,current_defence_rank > 5.50,home_team_on_defense <= 38.50
16,1.0,2,0,5,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank > 29.50,score_differential > 6.50,season_progression <= 0.15,0
40,0.791208791,182,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa > 0.98,yardline_100 > 36.50,total_play_count <= 89.00,game_seconds_remaining <= 2350.00
28,0.764705882,85,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa <= 0.98,HOME_day_since_last_game <= 8.07,home_team_on_defense <= 0.50,YardsToGo <= 11.50
30,0.744394619,223,0,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa <= 0.98,HOME_day_since_last_game <= 8.07,home_team_on_defense > 0.50,run_count <= 13.50
25,0.664609053,486,1,6,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation <= 8.50,home_team_on_defense > 51.50,epa > 0.16,goal_line_situation <= 0.50
41,0.63190184,163,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa > 0.98,yardline_100 > 36.50,total_play_count <= 89.00,game_seconds_remaining > 2350.00
24,0.625180897,691,1,6,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation <= 8.50,home_team_on_defense > 51.50,epa <= 0.16,stadium > 3.50
0,0.563492063,126,0,4,defenders_in_box <= 2.50,yardline_100 <= 33.50,YardsToGo <= 21.50,Precipitation <= 0.00,0,0
31,0.55721393,603,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa <= 0.98,HOME_day_since_last_game <= 8.07,home_team_on_defense > 0.50,run_count > 13.50
22,0.442477876,113,1,6,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation <= 8.50,home_team_on_defense <= 51.50,current_defence_rank > 5.50,home_team_on_defense > 38.50
23,0.413043478,92,0,6,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation <= 8.50,home_team_on_defense > 51.50,epa <= 0.16,stadium <= 3.50
8,0.0,13,1,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank <= 29.50,Down <= 3.50,rest_differential > 2.50,stadium > 10.00
33,0.0,11,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa <= 0.98,HOME_day_since_last_game > 8.07,score_differential <= -3.50,AWAY_day_since_last_game > 17.00
38,0.0,11,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa > 0.98,yardline_100 <= 36.50,pass_count > 17.50,total_play_count <= 69.50
19,0.0,7,1,6,defenders_in_box > 2.50,game_seconds_remaining <= 1510.50,offense_formation <= 8.50,home_team_on_defense <= 51.50,current_defence_rank <= 5.50,pass_run_ratio <= 0.55
17,0.0,4,1,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank > 29.50,score_differential > 6.50,season_progression > 0.15,week <= 13.50
35,0.0,4,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa <= 0.98,HOME_day_since_last_game > 8.07,score_differential > -3.50,run_count > 32.50
2,0.0,3,1,6,defenders_in_box <= 2.50,yardline_100 <= 33.50,YardsToGo <= 21.50,Precipitation > 0.00,poor_field_condition <= 0.50,home_team_on_offense > 10.50
37,0.0,2,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa > 0.98,yardline_100 <= 36.50,pass_count <= 17.50,Down > 3.50
12,0.0,1,1,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank > 29.50,score_differential <= 6.50,OffenseTeam <= 25.00,Temperature <= 36.76
14,0.0,1,1,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank > 29.50,score_differential <= 6.50,OffenseTeam > 25.00,home_team_on_offense <= 23.00
1,0.0,0,0,6,defenders_in_box <= 2.50,yardline_100 <= 33.50,YardsToGo <= 21.50,Precipitation > 0.00,poor_field_condition <= 0.50,home_team_on_offense <= 10.50
4,0.0,0,1,3,defenders_in_box <= 2.50,yardline_100 <= 33.50,YardsToGo > 21.50,0,0,0
15,0.0,0,0,6,defenders_in_box <= 2.50,yardline_100 > 33.50,current_defence_rank > 29.50,score_differential <= 6.50,OffenseTeam > 25.00,home_team_on_offense > 23.00
29,0.0,0,0,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa <= 0.98,HOME_day_since_last_game <= 8.07,home_team_on_defense <= 0.50,YardsToGo > 11.50
43,0.0,0,1,6,defenders_in_box > 2.50,game_seconds_remaining > 1510.50,epa > 0.98,yardline_100 > 36.50,total_play_count > 89.00,stadium > 32.50
