Feature,Mean Fold Feature Score,Max Fold Feature Score,Min Fold Feature Score,Total Feature Score,Normalised Feature Score
defenders_in_box,0.17169323512249596,0.22014117224134977,0.11240959383799506,0.5042440012018408,0.27773100332678297
game_seconds_remaining,0.02845035675750952,0.10841842130444221,0.04110255851802606,0.17797133657997777,0.09802428537366083
epa,0.04020387813118936,0.09151117728674422,0.02229022375618543,0.15400527917411905,0.08482409428908294
offense_formation,0.0,0.08398403280774482,0.05437515985021607,0.13835919265796087,0.07620643439444225
HOME_day_since_last_game,0.029175886733617304,0.07478429067823811,0.0,0.10396017741185541,0.05725990653296355
home_team_on_defense,0.04238272448008168,0.046812455634134026,0.01114470670028885,0.10033988681450455,0.05526589780397462
yardline_100,0.029600982520349633,0.03275585611077763,0.02106974179317309,0.08342658042430035,0.04595026977046544
run_count,0.030743811740720592,0.03163939060720566,0.0015596046942557137,0.06394280704218196,0.03521886212434578
stadium,0.03734245492720318,0.015378515521408826,0.0036854122451923776,0.05640638269380439,0.031067898125205478
surface_type,0.0251500941492622,0.0,0.026096355775169857,0.05124644992443206,0.028225874617298866
play_type,0.050969448996260186,0.0,0.0,0.050969448996260186,0.028073306127598917
DefenseTeam,0.0289396947283959,0.011581222977146387,0.0006276275677937397,0.04114854527333603,0.022664080756464235
goal_line_situation,0.0,0.03376601667050102,0.0,0.03376601667050102,0.01859788052192081
offensive_predictability,0.0294003572629311,0.0,0.0032427424336009883,0.03264309969653209,0.017979392533784624
AWAY_day_since_last_game,0.022726208080558252,0.007103150092649784,0.0012371190550218886,0.031066477228229923,0.017111009491159523
score_differential,0.0,0.011564079856437108,0.015366226406067302,0.026930306262504408,0.014832860599940026
Precipitation,0.002838884401577422,0.006795542995377314,0.014371746227830232,0.02400617362478497,0.01322228657347911
current_defence_rank,0.0,0.015515312127985818,0.008040780721018869,0.023556092849004687,0.012974387966579235
OffenseTeam,0.005797164645738491,0.0007941410041471807,0.009536590413969556,0.01612789606385523,0.008883034294287277
total_play_count,0.0,0.015660722744785204,0.0,0.015660722744785204,0.008625721338012989
Down,0.0,0.014090146326531728,0.0015441630636195182,0.015634309390151247,0.008611173207611376
rest_differential,0.00048208017499510393,0.015065240889437925,0.0,0.01554732106443303,0.008563261175099627
YardsToGo,0.005924653419772148,0.007228567074957645,0.0,0.013153220494729792,0.007244621882011144
pass_run_ratio,0.009831650332943101,0.0016985793699814701,0.00015441630636195183,0.011684646009286523,0.006435750255714871
Temperature,0.009873134120087376,0.0009264978381717109,0.00047570184632090694,0.011275333804579995,0.006210306444750151
is_close_game,0.006584407813465102,0.0,0.0,0.006584407813465102,0.003626605738467427
season_progression,0.005115450835011105,0.0005073678637606988,0.00030883261272390367,0.005931651311495708,0.0032670759913847776
pass_count,0.0,0.004118585187146027,0.0,0.004118585187146027,0.002268462874296097
poor_field_condition,0.0,0.0009264978381717109,0.0,0.0009264978381717109,0.0005103028961419905
home_team_on_offense,0.0004880317820938089,0.0,0.0,0.0004880317820938089,0.00026880152500221086
week,0.0,0.00046324891908585547,0.0,0.00046324891908585547,0.00025515144807099525
roof,0.0,0.0,0.0,0.0,0.0
