Team,2019_DEF_grade,2019_DEF_rank,2018_DEF_grade,2018_DEF_rank
Pittsburgh Steelers,91.0,1,81.1,14
San Francisco 49ers,89.7,2,59.1,32
New England Patriots,86.0,3,90.1,2
Minnesota Vikings,84.5,4,84.0,8
Denver Broncos,83.6,5,82.5,11
Los Angeles Rams,83.4,6,89.0,4
New Orleans Saints,80.1,7,84.2,7
Detroit Lions,78.6,8,74.9,22
Dallas Cowboys,78.6,9,80.5,15
New York Giants,78.6,10,70.5,26
Buffalo Bills,77.6,11,81.7,13
Chicago Bears,75.9,12,93.0,1
Green Bay Packers,75.6,13,74.1,24
Indianapolis Colts,74.8,14,75.9,21
Baltimore Ravens,74.4,15,84.8,6
New York Jets,74.3,16,82.2,12
Tampa Bay Buccaneers,74.3,17,60.9,30
Tennessee Titans,73.3,18,83.4,10
Los Angeles Chargers,72.4,19,78.2,16
Philadelphia Eagles,71.5,20,87.3,5
Seattle Seahawks,68.9,21,76.9,19
Carolina Panthers,67.1,22,75.9,20
Atlanta Falcons,66.4,23,71.9,25
Cincinnati Bengals,64.2,24,74.8,23
Houston Texans,63.2,25,89.9,3
Kansas City Chiefs,62.9,26,77.5,18
Arizona Cardinals,62.7,27,67.9,28
Washington Redskins,62.4,28,77.8,17
Cleveland Browns,61.1,29,69.0,27
Oakland Raiders,60.9,30,60.6,31
Jacksonville Jaguars,60.8,31,83.7,9
Miami Dolphins,53.3,32,67.4,29
